City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,brookings,44.3114,-96.7984,30.19,57,6,2.2,US,1690149196
1,ushuaia,-54.8,-68.3,0.81,75,75,4.12,AR,1690149083
2,leh,34.1667,77.5833,16.56,58,45,1.78,IN,1690149198
3,wesley,15.5667,-61.3167,28.74,79,40,4.63,DM,1690149198
4,polyarnyy,69.1989,33.4478,9.06,91,100,6.18,RU,1690149198
5,bilibino,68.0546,166.4372,17.44,62,82,0.69,RU,1690149199
6,port mathurin,-19.6833,63.4167,23.14,73,10,7.49,MU,1690149199
7,arraial do cabo,-22.9661,-42.0278,21.92,83,0,7.2,BR,1690149200
8,puerto natales,-51.7236,-72.4875,-2.61,91,9,1.72,CL,1690149200
9,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,4.63,EC,1690149200
10,blackmans bay,-43.0167,147.3167,10.85,73,81,2.03,AU,1690149201
11,stanley,54.868,-1.6985,12.01,90,40,4.63,GB,1690149201
12,udachny,66.4167,112.4,19.14,72,86,4.84,RU,1690149201
13,iqaluit,63.7506,-68.5145,9.85,71,40,5.14,CA,1690149193
14,ataq,14.5377,46.8319,29.05,40,100,3.49,YE,1690149203
15,mariental,-24.6333,17.9667,15.39,15,69,4.34,NA,1690149203
16,tolanaro,-25.0319,46.9987,21.04,83,20,6.17,MG,1690149179
17,aasiaat,68.7098,-52.8699,3.73,96,100,0.83,GL,1690149204
18,leava,-14.3,-178.1667,26.63,73,25,7.78,WF,1690149204
19,talnakh,69.4865,88.3972,11.23,85,14,0.43,RU,1690149204
20,grytviken,-54.2811,-36.5092,-6.17,76,21,3.39,GS,1690149177
21,edinburgh of the seven seas,-37.0676,-12.3116,13.35,81,65,11.03,SH,1690149205
22,hawaiian paradise park,19.5933,-154.9731,27.8,85,75,4.12,US,1690149187
23,jamestown,42.097,-79.2353,26.92,55,75,1.79,US,1690149206
24,ta`u,-14.2336,-169.5144,26.62,74,38,6.21,AS,1690149206
25,parun,35.4207,70.9221,15.17,68,14,2.03,AF,1690149206
26,port-aux-francais,-49.35,70.2167,5.91,86,80,15.58,TF,1690149207
27,bredasdorp,-34.5322,20.0403,9.6,76,58,2.61,ZA,1690149207
28,margaret river,-33.95,115.0667,9.56,81,0,4.65,AU,1690149207
29,kiuruvesi,63.65,26.6167,11.73,98,100,1.62,FI,1690149207
30,minas de marcona,-15.2119,-75.1103,14.93,75,5,5.64,PE,1690149208
31,ryotsu-minato,38.0833,138.4333,26.24,75,100,2.67,JP,1690149208
32,bethel,41.3712,-73.414,30.57,51,0,2.57,US,1690149209
33,adamstown,-25.066,-130.1015,20.23,71,4,8.08,PN,1690149210
34,qamdo,31.1667,97.2333,5.86,92,100,1.43,CN,1690149210
35,kristiansund,63.1115,7.732,14.03,82,75,5.66,NO,1690149210
36,chonchi,-42.6128,-73.8092,6.18,91,100,1.04,CL,1690149211
37,albany,42.6001,-73.9662,29.8,57,59,0.37,US,1690149179
38,grants pass,42.439,-123.3284,35.25,31,0,2.57,US,1690149194
39,cobija,-11.0267,-68.7692,30.14,38,0,0.21,BO,1690149212
40,ilulissat,69.2167,-51.1,8.01,87,75,1.54,GL,1690149212
41,college,64.8569,-147.8028,27.82,49,75,0.89,US,1690149212
42,yellowknife,62.456,-114.3525,22.29,40,100,4.63,CA,1690149212
43,ubari,26.5921,12.7805,31.73,11,2,4.09,LY,1690149213
44,avarua,-21.2078,-159.775,25.03,94,75,5.66,CK,1690149213
45,den burg,53.0542,4.7972,18.87,89,100,6.69,NL,1690149214
46,santona,43.4439,-3.4576,21.71,83,100,1.59,ES,1690149214
47,enewetak,11.3474,162.3373,28.66,79,72,8.65,MH,1690149214
48,isafjordur,66.0755,-23.124,11.04,88,100,1.6,IS,1690149215
49,fale old settlement,-9.3852,-171.2468,28.56,77,20,6.2,TK,1690149215
50,vadso,70.0744,29.7487,8.49,93,100,6.17,NO,1690149215
51,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1690149037
52,peace river,56.2501,-117.286,23.17,46,100,3.09,CA,1690149216
53,hasaki,35.7333,140.8333,25.73,78,77,2.24,JP,1690149216
54,roma,43.2128,-75.4557,28.71,44,0,4.63,US,1690149064
55,mukalla,14.5425,49.1242,33.6,50,100,1.37,YE,1690149216
56,papatowai,-46.5619,169.4708,9.0,95,98,0.98,NZ,1690149217
57,waingapu,-9.6567,120.2641,22.41,87,42,5.21,ID,1690149217
58,constantia,44.1833,28.65,18.38,62,0,0.87,RO,1690149217
59,piti village,13.4626,144.6933,29.03,87,100,4.63,GU,1690149218
60,holualoa,19.6228,-155.9522,28.64,78,40,4.63,US,1690149169
61,olonkinbyen,70.9221,-8.7187,4.8,90,98,4.83,SJ,1690149218
62,kodinsk,58.6881,99.1844,18.51,70,85,0.5,RU,1690149219
63,kasane,-17.8167,25.15,15.34,48,0,2.3,BW,1690149219
64,saint-joseph,-21.3667,55.6167,20.26,81,31,5.08,RE,1690149220
65,rawson,-43.3002,-65.1023,5.59,52,56,4.98,AR,1690149220
66,kodiak,57.79,-152.4072,14.73,77,0,4.63,US,1690149220
67,lompoc,34.6391,-120.4579,34.32,72,100,4.12,US,1690149220
68,guerrero negro,27.9769,-114.0611,26.95,49,3,6.26,MX,1690149221
69,at taj,24.2049,23.2857,31.09,18,8,3.51,LY,1690149221
70,tralee,52.2704,-9.7026,13.24,94,64,2.16,IE,1690149222
71,pangody,65.85,74.4859,17.33,73,86,2.82,RU,1690149222
72,zaozersk,69.4005,32.4476,8.12,89,100,5.2,RU,1690149222
73,hilo,19.7297,-155.09,28.86,89,75,4.12,US,1690149034
74,eldorado at santa fe,35.5264,-105.9347,33.52,18,0,6.17,US,1690149223
75,miguel ahumada,30.6167,-106.5167,36.22,16,39,3.79,MX,1690149223
76,mizdah,31.4451,12.9801,29.49,21,0,4.13,LY,1690149224
77,ardahan,41.1087,42.7022,13.67,97,51,1.57,TR,1690149224
78,sao joao da barra,-21.6403,-41.0511,23.05,85,12,5.28,BR,1690149224
79,pont rouge,48.8833,-72.0825,26.06,63,21,2.09,CA,1690149225
80,waitangi,-43.9535,-176.5597,13.23,95,98,3.13,NZ,1690149225
81,namibe,-15.1961,12.1522,17.67,73,63,4.62,AO,1690149225
82,altai,46.3722,96.2583,14.05,38,4,0.6,MN,1690149225
83,nemuro,43.3236,145.575,16.22,98,100,5.31,JP,1690149226
84,kolosovka,56.4678,73.611,14.68,98,100,1.33,RU,1690149226
85,waddan,29.1614,16.139,31.59,22,0,5.82,LY,1690149226
86,puerto lopez,4.0845,-72.956,27.35,82,34,1.81,CO,1690149227
87,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1690149227
88,fuerte olimpo,-21.0415,-57.8738,27.2,23,0,2.41,PY,1690149227
89,nuku'alofa,-21.1333,-175.2,24.19,64,20,3.09,TO,1690149228
90,cabo san lucas,22.8909,-109.9124,32.01,79,100,7.2,MX,1690149054
91,longyearbyen,78.2186,15.6401,10.91,66,40,5.66,SJ,1690149174
92,wailua homesteads,22.0669,-159.378,28.44,81,100,7.72,US,1690149229
93,kiruna,67.8557,20.2251,9.51,93,75,1.54,SE,1690149229
94,flying fish cove,-10.4217,105.6791,23.82,88,100,5.14,CX,1690149229
95,fort mcmurray,56.7268,-111.381,26.77,60,75,5.66,CA,1690149229
96,nieuw amsterdam,5.8833,-55.0833,31.09,77,20,1.03,SR,1690149230
97,vernon,50.2581,-119.2691,35.42,18,5,2.06,CA,1690149014
98,masterton,-40.9597,175.6575,8.82,98,100,2.85,NZ,1690149230
99,nema,57.5067,50.5011,13.67,78,51,2.36,RU,1690149231
100,bandar lampung,-5.4254,105.258,22.72,94,48,0.46,ID,1690149232
101,tuy hoa,13.0833,109.3,25.28,90,100,2.71,VN,1690149232
102,san patricio,28.017,-97.5169,39.4,39,51,8.31,US,1690149233
103,whitehorse,60.7161,-135.0538,19.43,68,100,3.09,CA,1690149233
104,neftegorsk,52.802,51.166,17.73,74,99,3.21,RU,1690149234
105,autun,46.95,4.3,18.36,75,99,0.91,FR,1690149234
106,invercargill,-46.4,168.35,8.33,94,99,0.96,NZ,1690149234
107,egilsstadir,65.2653,-14.3948,8.95,93,100,3.09,IS,1690149188
108,baykal'sk,51.5058,104.1469,13.73,100,100,0.38,RU,1690149235
109,hammerfest,70.6634,23.6821,11.25,71,0,6.17,NO,1690149235
110,aroma,15.8167,36.1333,30.99,52,50,9.6,SD,1690149235
111,nuuk,64.1835,-51.7216,13.34,71,21,3.6,GL,1690149236
112,anadyr,64.75,177.4833,14.28,76,100,3.0,RU,1690149236
113,coquimbo,-29.9533,-71.3436,16.85,72,0,4.12,CL,1690149197
114,st. john's,47.5649,-52.7093,23.77,86,75,6.17,CA,1690149237
115,naze,28.3667,129.4833,26.51,80,36,2.42,JP,1690149237
116,tual,-5.6667,132.75,25.1,79,100,11.56,ID,1690149238
117,tevriz,57.509,72.4042,13.97,99,100,1.61,RU,1690149238
118,thunder bay,48.4001,-89.3168,23.99,57,75,3.09,CA,1690149238
119,uliastay,47.7417,96.8444,11.84,52,0,2.42,MN,1690149239
120,san andres,12.5847,-81.7006,30.01,79,20,6.17,CO,1690149184
121,badger,64.8,-147.5333,27.77,42,40,0.0,US,1690149239
122,severo-yeniseyskiy,60.3725,93.0408,13.97,93,54,0.96,RU,1690149239
